ucid,docket_text,labels
nyed;;2:17-cr-00364,"Letter MOTION for Extension of Time to File Notice of Appeal by Freiry Martinez. (Geduldig, Martin) (Entered: 05/19/2020)",motion|motion for time extension
nyed;;1:17-cr-00598,"ORDER REASSIGNING CASE as to Howard J. Beard. Reassigned to Judge Sandra L. Townes. Judge Roslynn R. Mauskopf no longer assigned to the case. Please download and review the Individual Practices of the assigned Judges, located on our website. Attorneys are responsible for providing courtesy copies to judges where their Individual Practices require such.. Ordered by Chief Judge Dora Lizette Irizarry on 11/2/2017. (Davis, Kimberly) (Entered: 11/02/2017)",order
nyed;;1:17-cr-00055,"Notice to Southern District of Indiana of a PROB 22 Transfer as to Tycia Peterson. Your case number is: 13-cr-15-TWP-MGN. No need totransmit to NYED, the last charging instrument, the judgment and commitment order and the docket sheet to InterDistrictTransfer_NYED@nyed.uscourts.gov. I have retrieved those documents from pacer. (Marziliano, August) (Entered: 06/14/2017)",notice|transfer
nysd;;1:17-cv-07767,Case Designated ECF. (vf) (Entered: 10/11/2017),
nynd;;3:16-cv-01377,"STIPULATION AND ORDER OF VOLUNTARY DISMISSAL WITH PREJUDICE. Signed by U.S. District Judge Mae A. D'Agostino on 6/27/19. (ban, (Entered: 06/27/2019)",bilateral|case dismissed|dismiss with prejudice|order|party resolution|settlement resolution|stipulation|stipulation for voluntary dismissal|stipulation of dismissal
nynd;;1:16-cv-00411,"NOTICE by CIGNA Life Insurance Company of New York re 9 Letter Motion from Craig Meyerson for Cheryl Mackey requesting In-person settlement conference submitted to Judge Hummel (Horbatiuk, Kevin) (Entered: 05/06/2016)",notice
nynd;;1:15-cv-01564,"TEXT ORDER granting 12 Letter Request. Plaintiff shall have until May 30, 2016 to effectuate service of a summons and complaint upon the defendant. Authorized by Magistrate Judge David E. Peebles on 3/31/16. (sal) (Entered: 03/31/2016)",order
nynd;;3:17-cv-01316,"COMPLAINT - Social Security Appeal. [Pursuant to General Order #18, Section B(3), the CM/ECF system will generate a Notice of Electronic Filing to the USAO-NDNY and Regional Counsel for the Social Security Administration. Service of a Complaint along with the Social Security Identification Form under the Pilot Program will be considered complete only when the three steps in paragraph 3(A), 3(B) and 3(C) of General Order #18 have been completed.]. (Attachments: # 1 Civil Cover Sheet)(khr) (Entered: 12/06/2017)",complaint
nynd;;6:17-cv-00141,"DEFENDANT'S BRIEF by Nancy A. Berryhill. (Lechleitner, Andreea) (Entered: 06/07/2017)",brief
nysd;;7:16-cv-04309,Minute Entry for proceedings held before Judge Vincent L. Briccetti: Initial Pretrial Conference held on 9/23/2016. Parties consent to Magistrate JCM for all purposes. Order to follow. (kwi) (Entered: 09/23/2016),minute entry
nysd;;7:17-cv-09918,"FILING ERROR - WRONG EVENT TYPE SELECTED FROM MENU (SEE 14 Letter) - FIRST LETTER MOTION for Conference addressed to Judge Cathy Seibel from Stephen M. Smith, Esq. dated 02/21/2018. Document filed by Earl Peverini.(Smith, Stephen) Modified on 2/22/2018 (db). (Entered: 02/21/2018)",error|motion
nysd;;7:17-cv-07134,"MEMO ENDORSEMENT on 52 Letter granting 50 Letter Motion for Oral Argument; granting 51 Letter Motion for Oral Argument. ENDORSEMENT: Oral argument will happen on 9/20/18, at 11 am. This will not be moved back. SO ORDERED. (Signed by Judge Kenneth M. Karas on 7/30/2018) (mml) (Entered: 07/30/2018)",memorandum
nysd;;1:17-cv-10096,MEMO ENDORSEMENT on re: 15 Letter filed by Peter Joseph Vaccaro. ENDORSEMENT: The date for filing a motion to amend or add parties expired in mid-April. Defendants shall provide the full corporate crane of MBI within 7 days. Plaintiff may file his motions to amend in 21 days. Defendants may file its response 14 days thereafter and plaintiff may reply 7 days thereafter. (Signed by Judge P. Kevin Castel on 6/18/2018) (kgo) (Entered: 06/18/2018),memorandum
nysd;;1:16-cv-00007,"ORDER: On October 10, 2017, the Court granted the request of Steve W. Berman and Elizabeth J. Cabraser to withdraw as counsel for Plaintiffs Dion Jones, Carmel Justis, and Tajah Liddy (""Unrepresented Plaintiffs"") and ordered the Unrepresented Plaintiffs to either retain new counsel or move for permission to become Electronic Case Filing (""ECF"") users by November 13, 2017 (see Docket No. 4696). The Unrepresented Plaintiffs failed to do so and New GM now moves to dismiss Unrepresented Plaintiffs' claims with prejudice (Docket No. 4851). Unrepresented Plaintiffs shall file any opposition to New GM's motion to dismiss with prejudice no later than January 15, 2018 and New GM shall file any reply no later than January 29, 2018. The Clerk of the Court is directed to mail to the Unrepresented Plaintiffs a copy of this Order and a copy of New GM's motion to dismiss with prejudice (Docket No. 4851), as well as a copy of this Court's Individual Rules and Practices in Civil Pro Se Cases, available at http://nysd.uscourts.gov/judge/Furman. ( Responses due by 1/15/2018, Replies due by 1/29/2018.) (Signed by Judge Jesse M. Furman on 12/4/2017) Filed In All Member Cases, 1:14-md-02543-JMF et al., pursuant to instructions from Chambers. (mro) (Entered: 12/04/2017)",order
nysd;;1:16-cv-06077,"MEMORANDUM OPINION AND ORDER: Plaintiff's complaint is dismissed without prejudice for failure to prosecute and for counsel's failure to comply with numerous orders of the Court. In dismissing this case, the Court echoes an observation made by Judge Brian Cogan of the United States District Court for the Eastern District of New York last year in another ADA accessibility case brought by Plaintiff's counsel: ""The Court understands that plaintiff's counsel runs these cases on a volume basis and that is her business, but she must utilize reasonable process to get each case moving before this Court and cannot allow these scenarios to repeat themselves anymore. It is almost as if she is deliberately filing papers that cannot move the case forward in order to unreasonably delay it. Whether deliberate or not, she has to stop it, both in this case and in the others that she brings before this Court."" Taylor v. Happy M.E.W.S. Inc., No. 15-cv-5410 (BMC) (Dkt. No. 13). The Clerk of Court is directed to terminate all pending motions and to close this case. The Clerk of Court is further directed to send a copy of this order to Defendant by certified mail. (Signed by Judge Gregory H. Woods on 12/14/2016) (cla) (Entered: 12/14/2016)",case dismissed|dismiss without prejudice|memorandum|order
nysd;;1:16-cv-06177,"NOTICE OF APPEARANCE by William A. Gogel on behalf of Bibi Daprile, Joseph Daprile, Dee Gee Rest LLC. (Gogel, William) (Entered: 10/12/2016)",notice|notice of appearance
nysd;;7:17-cv-08484,"CONSENT TO BECOME PARTY PLAINTIFF UNDER THE F.L.S.A.. Document filed by Elsa Chavez, Carlo Escamilla.(Duffy, Caitlin) (Entered: 07/30/2018)",bilateral
nysd;;7:16-cv-09455,"STIPULATED ORDER AND JUDGMENT. Pursuant to Rule 58 of the Federal Rules of Civil Procedure, the Clerk of the Court shall enter judgment in the above captioned case in favor of Plaintiffs against Defendant Company in the amount of $59,711.24, and Plaintiffs shall have execution as described by the Stipulation. Plaintiffs shall suspend the execution of this judgment provided Defendant (i) pays five thousand dollars and no cents ($5,000.00) to Plaintiffs by December 15, 2017, and (ii) pays Plaintiffs two thousand dollars and no cents ($2,000.00) per month on or before the fifteenth (15th) day of each month starting from January 15, 2018 until Defendant pays Plaintiffs $45,074.86, plus post-judgment interest on the $45,074.86. If Defendant fails to remit timely any payment in accordance with this Order, Plaintiffs shall immediately have execution of said judgment without further order of the Court. To encourage prompt payment, if the Defendant timely pays the installments for $45,074.86, plus post-judgment interest, by December 31, 2020, Plaintiffs Trustees shall discontinue collection of the liquidated damages (in the amount of $14,636.38) by filing a Satisfaction of Judgment with this Court. Clerk shall close this case. SO ORDERED. (Signed by Judge Vincent L. Briccetti on 12/6/17) (yv) (Entered: 12/06/2017)",bilateral|judgment|order|stipulation|stipulation for judgment
nysd;;1:16-cv-06219,"CIVIL CASE DISCOVERY PLAN SCHEDULING ORDER: to conducting all further proceedings before a Magistrate Judge, including motions and trial, pursuant to 28 U.S.C. § 636(c). Amended Pleadings due by 2/1/2020. Joinder of Parties due by 2/1/2020. Deposition due by 1/17/2020. Discovery due by 2/1/2020. Case Management Conference set for 2/6/2020 at 11:00 AM before Judge Edgardo Ramos. (Signed by Judge Edgardo Ramos on 8/1/2019) (kv) Modified on 10/4/2019 (kv). (Entered: 08/01/2019)",order
nysd;;7:17-cr-00113,"Minute Entry for proceedings held before Magistrate Judge Judith C. McCarthy: Arraignment as to Kenneth Mayer (1) Count 1 held on 2/17/2017. Defendant present with attorney John Silveri. AUSA: Olga Zverovich. Court Reporter: Courtflow. The defendant had an initial appearance, waived indictment, was arraigned on the Felony Information, waived public reading, and entered a not guilty plea. The matter was wheeled out and assigned to Judge Seibel. The speedy trial time is excluded until the first pretrial conference not to exceed March 3, 2017. Any further exclusion of time must be made to the District Judge. The defendant is granted bail. Bail conditions were agreed upon. Plea entered by Kenneth Mayer (1) Count 1 Not Guilty (lnl) (Entered: 02/21/2017)",minute entry
nysd;;1:16-cr-00597,SEALED COMPLAINT as to William Mingo (1) in violation of 18 U.S.C. 2250. (Signed by Magistrate Judge Andrew J. Peck) (gq). [1:16-mj-05417-UA] (Entered: 08/30/2016),complaint|sealed
nywd;;6:17-cv-06572,Case assigned to Hon. David G. Larimer. Notification to chambers of on-line case opening. (TF) (Entered: 08/17/2017),
nywd;;1:16-cv-00103,"NOTICE by USAA Casualty Insurance Company Letter to Honorable Frank P Geraci, Jr. (McPartland, William) (Entered: 05/01/2017)",notice
nywd;;1:16-cv-00089,"Corporate Disclosure Statement by Lamorak Insurance Company identifying Corporate Parent Bedivere Insurance Company, Corporate Parent Trebuchet US Holdings, Inc., Corporate Parent Trebuchet Investments, Ltd., Corporate Parent Armour Group Holdings for Lamorak Insurance Company.. (Ginzberg, Jaimie) (Entered: 03/18/2016)",
nywd;;6:16-cv-06279,"COMPLAINT against All Defendants $ 400 receipt number 0209-2519740, filed by Scott M Green, Lori B. Green. (Attachments: # 1 Civil Cover Sheet, # 2 Summons in a Civil Action)(Matarazzo, Hadley) (Entered: 04/29/2016)",complaint
nywd;;1:16-cv-00744,AUTOMATIC REFERRAL to Mediation The ADR Plan is available for download at http://www.nywd.uscourts.gov/alternative-dispute-resolution.(KM) (Entered: 09/16/2016),
nywd;;1:17-cv-01232,"RESPONSE TO ORDER TO SHOW CAUSE by Jeanette Miller. (Andrews, Seth) (Entered: 02/16/2018)",response
nywd;;1:16-cv-00859,TEXT ORDER reassigning this case to the Honorable Michael A. Telesca. Signed by Hon. Elizabeth A. Wolford on 16cv859. (JMC) (Entered: 04/18/2018),order
nywd;;1:17-cv-00049,"PETITION for Writ of Habeas Corpus, filed by Willie Scott.(KLH) (Additional attachment(s) added on 1/19/2017: # 1 Civil Cover Sheet) (KLH). (Entered: 01/19/2017)",petition|petition for habeas corpus
nywd;;6:16-cv-06578,"REPLY/RESPONSE to re 15 MOTION for Summary Judgment Plaintiff's Reply Memorandum in Support of Her Motion for Summary Judgment filed by Kathy McElwaney. (Attachments: # 1 Declaration, # 2 Supplemental Appendix Index, # 3 Supplemental Appendix Exhibit 1, # 4 Supplemental Appendix Exhibit 2)(Haber, Edward) (Entered: 12/19/2017)",response
nywd;;6:16-cr-06126,"TEXT ORDER as to Laron Perkins. Sentencing is set for 3/16/2017 at 3:30 PM. Presentence Report to Parties due by 2/9/2017 (35 days prior)., Sentencing Factors Statements/Sentencing Motions due by 2/23/2017 (21 days prior)., Objections/Responses to Sentencing Factors/Motions due by 3/2/2017 (14 days prior)., Character Letters due by 3/9/2017 (7 days prior)., Presentence Report to the Court due by 3/9/2017 (7 days prior). THE TIME FRAMES FOR SENTENCING SUBMISSIONS DATES AS STATED ABOVE SHALL APPLY TO ANY ADJOURNED SENTENCING DATES. SO ORDERED. Signed by Hon. Frank P. Geraci, Jr. on 12/30/2016.(MC) (Entered: 12/30/2016)",order
nywd;;6:17-cr-06065,TEXT ORDER as to Nadia Thomas re 24 MOTION to Revoke Defendant's Release Order filed by USA. Motion Hearing set for 8/3/2017 11:00 AM before Hon. David G. Larimer. IT IS SO ORDERED. Signed by Hon. David G. Larimer on 7/28/17.(PR) (Entered: 07/28/2017),order
ohnd;;3:16-cv-02935,"Proposed Stipulation by All Parties of Settlement and Dismissal, With Prejudice, Pursuant to FRCP 41(a)(1) filed by Biddeford Blankets, LLC. (Harris, Kathleen) (Entered: 04/20/2017)",41(a)(1)|bilateral|dismiss with prejudice|proposed|settlement reached|settlement resolution|stipulation|stipulation for settlement|stipulation of dismissal
ohnd;;5:16-cv-00638,"Return of Service by Substituted service executed upon Christopher Wayne Jones on 4/27/16, filed on behalf of all plaintiffs (Attachments: # 1 Affidavit)(Duncan, Robert) Modified text on 5/5/2016 (S,HR). (Entered: 05/04/2016)",
ohnd;;1:17-cv-00997,"Judge Dan Aaron Polster assigned to case. (W,Jo) (Entered: 05/11/2017)",
ohnd;;4:16-cv-01805,"Order: [non-document] In light of the above (see Doc. 17 ), the mediation conference set for 1/13/2017 is hereby canceled. Magistrate Judge Kathleen B. Burke on 10/27/2016. (D,I) (Entered: 10/27/2016)",order
ohnd;;5:17-cv-00047,"Corporate Disclosure Statement filed by National Football League. (Oliss, Philip) (Entered: 02/06/2017)",
ohnd;;1:16-cv-01341,"Return of Service by personal service executed upon Cleveland Industrial Concrete Floors, Inc. on 6/15/2016, filed on behalf of Ohio & Vicinity Carpenters' Fringe Benefit Funds, Inc. Related document(s) 1 . (Asher, Michael) (Entered: 07/20/2016)",
ohnd;;3:16-cv-02064,"Return of Service by U.S. Marshal by personal executed upon U.S. Attorney on 9/1/2016; Attorney General by certified mail on 9/7/2016; Commissioner of Social Security Administration by certified mail on 9/6/2016 and upon General Counsel of Social Security Administration on 9/6/2016 filed on behalf of Douglas Pennington Related document(s) 2 , 9 . (W,CM) (Entered: 09/16/2016)",
ohnd;;5:16-cv-02581,"Temporary Restraining Order. The Court grants the plaintiff's motion for temporary restraining order. (Doc. No. 3 .) The Court therefore orders that defendants Tuscarawas County, Ohio, the Office of the Tuscarawas County Engineer, and Tuscarawas County Engineer Joseph Bachman immediately remove signs that they, their employees, or their agents have installed in the public rights-of-way on approach to the Wheeling's grade crossings directing the public to refer complaints to certain Wheeling officials. The Court further orders that the defendants, their employees, or their agents refrain from installing any additional such signs on approach to the Wheeling's grade crossings until further notice. Judge Sara Lioi on 10/24/2016. (P,J) (Entered: 10/24/2016)",order
ohsd;;2:17-cv-00590,"RESPONSE TO ORDER TO SHOW CAUSE by Plaintiff Terrance R. Wray. (Attachments: # 1 Exhibit Affidavit) (Snyder, Karl) (Entered: 10/12/2017)",response
ohsd;;2:17-cv-00855,"ORDER granting 41 Motion for Extension of Time to Disclose Expert Reports. Signed by Magistrate Judge Elizabeth Preston Deavers on May 16, 2019. (jlk) (Entered: 05/16/2019)",order
ohsd;;1:16-cv-00102,"ANSWER to 4 Complaint with Jury Demand filed by Cincinnati Children's Hospital Medical Center, filed in Hamilton County Court of Common Pleas on 12/28/2015. (mas) (Entered: 01/07/2016)",answer
ohsd;;1:16-cv-00164,"ORDER OF CONSOLIDATION - Pursuant to Rule 42 of the Federal Rules of Civil Procedure, all civil actions alleging medical malpractice against Abubakar Atiq Durrani, M.D., which have been removed from state court to this Court since January 1, 2016, are hereby consolidated before Judge Timothy S. Black for the purpose of conducting a sua sponte review of subject matter jurisdiction and ruling on Plaintiffs' pending motions to remand. This Order is entered with the consent of all District Judges to whom any of these cases have been initially assigned. Accordingly: 1. These civil actions are CONSOLIDATED under the lowest docket number, 1:16-cv-004; and 2. ALL FUTURE FILINGS shall be made in Consolidated Case No. 1:16-cv-004. Signed by Judge Timothy S. Black on 2/12/2016. (mr) (Entered: 02/12/2016)",order
ohsd;;2:16-cv-00638,"REPORT AND RECOMMENDATION: The Magistrate Judge RECOMMENDS that this action be DISMISSED re 5 Petition for Writ of Habeas Corpus filed by Alterik Rogers. Objections to R&R due by 5/14/2018. Signed by Magistrate Judge Elizabeth Preston Deavers on April 30, 2018. (jlk) (This document has been sent by regular mail to the party(ies) listed in the NEF that did not receive electronic notification.) (Entered: 04/30/2018)",report
ohsd;;3:16-cv-00396,"STATEMENT OF SPECIFIC ERRORS by Plaintiff Joe Barney Opposition to Statement of Errors due by 2/21/2017. (Blumenthal, Gary) (Entered: 01/06/2017)",
ohsd;;3:17-cv-00135,"Minute Entry for proceedings held before Judge Walter H. Rice: Telephone Conference held on 11/7/2018, (Jury Trial re-set for 12/2/2019 09:00 AM in Courtroom 1 - Dayton before Judge Walter H. Rice.). Scheduling Order to be filed shortly. (Court Reporter: Debra Futrell) (tp) (Entered: 11/07/2018)",jury trial|minute entry|trial
ohsd;;2:16-cv-01104,"SUMMONS Returned Executed as to Defendant Commissioner of Social Security. (Farrell, Clifford) (Entered: 03/03/2017)",summons
ohsd;;3:16-cv-00128,NOTATION ORDER: Granting 9 Unopposed Second Motion for Extension of Time to File Response/Reply filed by Commissioner of Social Security. Opposition to Statement of Errors due by 11/16/2016. Signed by Chief Magistrate Judge Sharon L. Ovington on 10/18/2016. (lek) (Entered: 10/18/2016),order
ohsd;;1:17-cr-00048,"Minute Entry: This case came before the Court for a preliminary pretrial conference by telephone on 5/9/2017 at 11:00 a.m. Attorneys Christy Muncy and Karen Savir participated. A calendar was established and will be docketed by separate entry. (Court Reporter: Luke Lavin, Official) (gs) (Entered: 05/11/2017)",minute entry
oked;;6:16-cv-00523,"SUMMONS Issued by Court Clerk as to Lauren Truitt (jcb, Deputy Clerk) (Entered: 12/20/2016)",summons
oked;;6:16-cv-00057,"MINUTE ORDER by Court Clerk. Defendant is directed to add the case number to their Notice of Removal, file the document along with all exhibits using the Other Initiating Documents - Notice of Removal event and pay the $400 filing fee within 7 days. Consent forms provided to filing party. (Filing Fee due by 2/23/2016)(jcb, Deputy Clerk) (Entered: 02/16/2016)",minute entry|order
oked;;6:16-cv-00495,"MINUTE ORDER by Judge Ronald A. White granting 2 Motion for Leave to Proceed in Forma Pauperis (dma, Deputy Clerk) (Entered: 11/16/2016)",minute entry|order
oked;;6:17-cv-00120,"JOINT STATUS REPORT by David Cooper, Karen Cooper (Foraker, Eddie) (Entered: 05/04/2017)",bilateral|report
oked;;6:16-cv-00227,"OPINION AND ORDER by Judge Ronald A. White: This action is dismissed without prejudice, pursuant to 28 U.S.C. 1406(a). (case terminated) (acg, Deputy Clerk) (Entered: 06/03/2016)",case dismissed|dismiss without prejudice|order|party resolution
oked;;6:16-cv-00223,"MOTION to Lift Stay by Bobby Laymone Sanders Responses due by 6/12/2018(Derryberry, Barry) (Entered: 05/29/2018)",motion|motion to lift stay
oked;;6:16-cv-00503,"MINUTE ORDER by Magistrate Judge Kimberly E. West, directing that the parties present their respective positions and legal authorities regarding the judicial review: Opening brief of Plaintiff due 5/30/17; response brief of Defendant due 60 days after opening brief of Plaintiff is filed. No extensions of time will be granted unless exceptional circumstances are provided to the Court. Plaintiff may file a reply brief within 11 days from the date the response brief of Defendant is filed. The case will be submitted to the Court for decision after the briefs are filed. Oral arguments before the Court will not be set herein unless requested within 60 days from this date. All motions to remand must state specifically whether it is a sentence 4 or sentence 6 remand. (Social Security Opening Brief due by 5/30/2017, Social Security Response Brief due by 7/26/2017, Social Security Reply Brief due by 8/7/2017)(acg, Deputy Clerk) (Entered: 03/28/2017)",minute entry|order
oked;;6:16-cv-00262,"MINUTE ORDER by Judge Ronald A. White: Granting 4 Motion for Leave to Proceed in Forma Pauperis(acg, Deputy Clerk) (Entered: 06/22/2016)",minute entry|order
oked;;6:16-cr-00004,"MINUTE ORDER by Magistrate Judge Kimberly E. West: Granting (Dkt No 6 ) Government's Motion to Unseal Case as to Mark Brandon Weeks (1) (neh, Deputy Clerk) (Entered: 03/01/2016)",minute entry|order
oked;;6:17-cr-00030,"FINAL PRESENTENCE INVESTIGATION REPORT as to Jason Nathaniel Daugherty. NOTE: This document will only be accessible to appropriate court staff, the government attorney and the attorney for the applicable defendant. Other defendants in the case and the general public will NOT be able to view this document. The Court considers this Presentence Investigation Report confidential information, and everyone who receives a copy of this document is responsible for any further disclosures. (tah, USPO Clerk) (Entered: 10/05/2017)",report
oknd;;4:17-cv-00587,"ORDER by Chief Judge Gregory K Frizzell , directing Plaintiff to show cause( Response to Order to Show Cause due by 10/24/2018) (kjp, Dpty Clk) (Entered: 10/10/2018)",order
oknd;;4:16-cv-00661,"ATTORNEY APPEARANCE by R Richard Love, III on behalf of Arvest Bank [Note: Attorney R Richard Love, III added to party Arvest Bank(pty:dft).] (Love, R) (Entered: 11/17/2016)",
oknd;;4:16-cv-00464,"MINUTE ORDER by Magistrate Judge T Lane Wilson the hearing scheduled for 4/12/17 is stricken ; striking/terminating deadline(s)/Hearing(s); granting 75 Motion to Strike Hearing(s)/Deadline(s) (This entry is the Official Order of the Court. No document is attached.) (crp, Dpty Clk) (Entered: 04/11/2017)",minute entry|order
oknd;;4:17-cv-00590,"SCHEDULING ORDER by Judge Claire V Eagan , setting/resetting scheduling order date(s): ( Discovery due by 3/30/2018, Dispositive Motions due by 5/4/2018, Proposed Pretrial Order due by 6/18/2018, Pretrial Conference set for 7/10/2018 at 09:30 AM before Judge Claire V Eagan, Jury Trial set for 7/16/2018 at 09:15 AM before Judge Claire V Eagan) (djh, Dpty Clk) (Entered: 11/27/2017)",order
oknd;;4:17-cv-00477,"***Civil Case Terminated (see document number 23 ) (sac-qc, Dpty Clk) (Entered: 06/05/2018)",
oknd;;4:17-cv-00683,"MINUTE ORDER by Magistrate Judge Paul J Cleary resetting Settlement Conference. Plaintiffs Settlement Conference Statement will be due September 20, 2018. Defendants Settlement Conference Statement will be due September 27, 2018 ; setting/resetting deadline(s)/hearing(s): before ASJ Laurence J. Yadon ( Settlement Conference set for 10/4/2018 at 01:30 PM before Adjunct Judge); granting 18 Motion to Accelerate/Extend/Reset Settlement Deadline(s)/Conference (This entry is the Official Order of the Court. No document is attached.) (sdc, Dpty Clk) (Entered: 07/16/2018)",minute entry|order
oknd;;4:17-cv-00318,"JOINT STATUS REPORT by Works & Lentz of Tulsa, Inc. (Ray, Ryan) (Entered: 09/15/2017)",bilateral|report
oknd;;4:16-cv-00642,"STATUS REPORT by Local 597 Training Center, Local 798 Training Center, Pipeline Industry Annuity/401 (K) Fund, Pipeline Industry Benefit Fund, Pipeline Industry Pension Fund, Pipeliners Local 597, Pipeliners Local 798 (Warrick, William) (Entered: 09/17/2018)",report
oknd;;4:17-cv-00450,"JOINT STATUS REPORT by Michael J Reedy (Frasier, Frank) (Entered: 09/29/2017)",bilateral|report
oknd;;4:16-cr-00117,"ATTORNEY APPEARANCE by Joseph Franklin Wilson on behalf of USA [Note: Attorney Joseph Franklin Wilson added to party USA(pty:pla).] (Wilson, Joseph) (Entered: 05/30/2019)",
okwd;;5:16-cv-01466,"Minute Entry for proceedings held before Honorable Vicki Miles-LaGrange: Scheduling Conference held on 5/2/2017. The parties to submit their joint motion for briefing schedule no later than May 12, 2017. (ks) (Entered: 05/03/2017)",minute entry
okwd;;5:16-cv-00158,SCHEDULING ORDER: Motions in limine due 10/20/16; Jury instructions due 10/20/16; Voir dire requests due 10/20/16; Discovery due by 10/1/2016. Jury Trial set for 11/1/2016 09:00 AM before Honorable David L. Russell. Motions due by 9/1/2016. Pretrial Report due by 10/20/2016.. Signed by Honorable David L. Russell on 5/3/16. (jw) (Entered: 05/04/2016),order
okwd;;5:17-cv-00548,"JOINT STATUS REPORT by Defendant Ambassador Hotel Collections. (Court, Todd) (Entered: 09/25/2017)",bilateral|report
okwd;;5:17-cv-00662,"PAYMENT FOR A CIVIL CASE Filing fee $ 400, receipt number 1087-2508116. (Hammons, Mark) (Entered: 06/16/2017)",
okwd;;5:17-cv-01245,"SUMMONS Returned Executed by Elizabeth Cooper. South Park Health Care LLC served on 11/21/2017. (Addison, D) (Entered: 11/28/2017)",summons
okwd;;5:16-cv-00216,"JUDGMENT - Pursuant to this Court's order entered this same date, this action is dismissed without prejudice for failure to timely serve defendant with process. Signed by Honorable Vicki Miles-LaGrange on 9/13/2016. (ks) (Entered: 09/13/2016)",dismiss without prejudice|judgment
okwd;;5:17-cr-00187,"REQUEST for Modifying the Conditions or Term of Supervision with Consent of the Offender as to Jimmy Don McCoy, Jr and Order. Signed by Honorable David L. Russell on 9/12/17. (Attachments: Exhibit # 1 Waiver of Hearing) (jw) (Entered: 09/12/2017)",
okwd;;5:16-cr-00057,"TRANSFER OF JURISDICTION for Supervision of Release to Honorable Vicki Miles-LaGrange as to John Manuel Hines from Middle District of Florida Orlando Division, Honorable Gregory A. Presnell 6:13-CR-153-ORL-31KRS (pw) (Entered: 03/28/2016)",transfer
okwd;;5:16-cr-00150,"MINUTE ENTRY for proceedings held before Honorable Vicki Miles-LaGrange: Sentencing held on 1/24/2017 for Timothy Jay Williams (1); Count 1, Defendant sentenced to Bureau of Prisons for a term of 41 months; Supervised Release of 3 years; S/A Fee of $100 due immediately; Defendant ordered to pay restitution in the amount of $1,260,725.43 due immediately; Defendant to self-surrender by 1:00 p.m. on Friday, February 17, 2017. (Court Reporter Christy Clark) (ks) (Entered: 01/25/2017)",minute entry|sentence
ord;;6:17-cv-01424,AMENDED MINUTES of Proceedings: Rule 16 Conference held. Estimated 5 day Jury Trial is set for 9/10/2018 at 09:00AM in Eugene Courtroom 2 before Judge Michael J. McShane. Pretrial Conference is set for 9/6/2018 at 09:00AM in Eugene Courtroom 2 before Judge Michael J. McShane. Discovery is to be completed by 3/12/2018. Dispositive Motions are due by 4/13/2018. Pretrial Order is due by 7/27/2018. Dezi Rae S. Robb and Matthew C. Ellis present as counsel for plaintiffs. William Greg Lockwood present as counsel for defendant. Judge Michael J. McShane presiding. (cp) Modified on 1/10/2018 (cp). (Entered: 01/10/2018),minute entry
ord;;3:17-cv-00278,"Affidavit of Service of Summons Issued 5 upon Joan Bellinger served on 2/27/2017 Filed by All Plaintiffs. (Larkin, Linda) (Entered: 03/10/2017)",
ord;;3:17-cv-01995,ORDER: The Court construes Plaintiff's Motion for a 30-Day Extension 28 as a motion to extend the deadline to respond to Defendant's Motion to Dismiss 27 and GRANTS the extension. The deadline to respond to Defendant's Motion to Dismiss 27 is extended from 9/10/2018 to 10/10/2018. Ordered by Judge Michael W. Mosman. (kms) (Entered: 09/21/2018),order
ord;;3:16-cv-00512,"Unopposed Motion for Extension of Time To File Opening Brief. Filed by Dorothy Lambert. (Wall, George) (Entered: 11/23/2016)",motion|motion for time extension|unopposed
ord;;3:16-cv-02275,Notice of Attorney Substitution: Renata Gowie is substituted as counsel of record in place of Attorney Janice E. Hebert Filed by on behalf of Commissioner Social Security Administration. (eo) (Entered: 11/22/2017),notice
paed;;2:17-cv-05089,"MOTION to Bifurcate filed by WESTFIELD INSURANCE COMPANY.Memorandum, Certificate of Service, Certificate of Counsel. (Attachments: # 1 Text of Proposed Order, # 2 Memorandum, # 3 Certificate of Service, # 4 Exhibit, # 5 Exhibit, # 6 Exhibit)(FOWLER, JOSEPH) (Entered: 01/19/2018)",memorandum|motion
paed;;2:16-cv-05254,"MOTION TO DISMISS FOR FAILURE TO STATE A CLAIM filed by BIRCHHALL, LLC, ABBOTT LEE STILLMAN.Brief. (Attachments: # 1 Text of Proposed Order, # 2 Brief, # 3 Exhibit 1, # 4 Exhibit 2, # 5 Exhibit 3, # 6 Exhibit 4, # 7 Exhibit 5, # 8 Exhibit 6, # 9 Certificate of Service)(HALTZMAN, MARK) (Entered: 10/17/2016)",12(b)(6)|dismissing motion|motion|motion to dismiss
paed;;2:16-cv-04289,"Summons Issued as to COURT OF COMMON PLEAS TRIAL DIVISION - CIVIL COURT, US BANK NATIONAL ASSOCIATION. Forwarded To: 2 Origs given to pro se on 8/8/16 (jmv, ) (Entered: 08/08/2016)",summons
paed;;2:16-cv-01725,"ORDER THAT PLFF'S MOTION REQUESTING LEAVE TO AMEND (DOC. NO. 8) IS GRANTED. IT IS FURTHER ORDERED THAT PLFF SHALL FILE HER AMENDED COMPLAINT, IF ANY, NO LATER THAN 7/12/2016. SIGNED BY HONORABLE TIMOTHY J. SAVAGE ON 6/28/16. 6/28/16 ENTERED AND COPIES E-MAILED AND MAILED TO PRO SE PLFF.(kw, ) (Entered: 06/28/2016)",order
